,Symbol,Date,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Common Stock Equity,Tangible Book Value,Invested Capital,End Cash Position,Financing Cash Flow,Operating Cash Flow,Total Revenue,Diluted Average Shares,Investing Cash Flow,Normalized Income,Tax Effect of Unusual Items,Pretax Income
32,AVID,12/31/2019,0.0,304293.0,459378.0,-155085.0,-155085.0,-187728.0,74503.0,72575.0,-7644.0,19641.0,411788.0,43495.0,-7185.0,8060.0,-169.83,2525.0
33,AWRE,12/31/2019,0.0,57555.0,4120.0,53435.0,53435.0,53435.0,53435.0,47742.0,-814.0,-2945.0,12204.0,21523.0,-111.0,-8340.0,0.0,-3129.0
34,AXTI,12/31/2019,0.0,223349.0,30587.0,192762.0,184353.0,183229.0,190100.0,26892.0,6186.0,12658.0,83256.0,39487.0,-8328.0,-2834.0,86.67,-1026.0
35,BAND,12/31/2019,0.0,341416.0,71326.0,270090.0,270090.0,256654.0,270090.0,185004.0,152418.0,-1253.0,232594.0,23924.0,-7653.0,2494.0,0.0,-15224.0
36,BBSI,12/31/2019,0.0063,860929.0,689130.0,171799.0,171799.0,123979.0,175750.0,273341.0,-10811.0,77137.0,942311.0,7699.0,66313.0,38401.0,2629.0,61138.0
37,BCOV,12/31/2019,0.0,172867.0,98744.0,74123.0,74123.0,-654.0,74123.0,22759.0,3177.0,2708.0,184455.0,38028.0,-12618.0,-10754.0,-297.622,-21343.0
38,BIDU,12/31/2019,0.0056,301316000.0,129610000.0,171706000.0,163599000.0,137462000.0,230364000.0,34439000.0,-3873000.0,28458000.0,107413000.0,348849.0,-19974000.0,2081750.0,-8250.0,-340000.0
39,BIGC,12/31/2019,0.0,56064.0,89613.0,-33549.0,-257303.0,-257303.0,-216438.0,9150.0,17351.0,-39969.0,112103.0,54926.0,17871.0,-42590.0,0.0,-42562.0
40,BILI,12/31/2019,-0.004,15516567.0,7880107.0,7636460.0,7052484.0,4383125.0,10467112.0,4962660.0,5078842.0,194551.0,6777922.0,323162.0,-3958277.0,-1352589.0,21205.0,-1267703.0
41,BL,12/31/2019,0.0,1014552.0,615939.0,398613.0,398613.0,184686.0,782956.0,120502.0,452512.0,29724.0,288976.0,55320.0,-408450.0,-32535.0,0.0,-30421.0
42,BLCT,12/31/2019,-0.0192,466876.0,1241397.0,-774522.0,-1387500.0,-1387500.0,-1387500.0,297274.0,-22252.0,-31642.0,758888.0,35651.0,285594.0,-52901.0,-9.5973,-51999.0
43,BLKB,12/31/2019,0.0,1992963.0,1596199.0,396764.0,396764.0,-656521.0,863864.0,577295.0,111213.0,182477.0,900423.0,48312.0,-167219.0,16148.0,-1568.0,10585.0
